ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_sCH3,ES_Sum_ssCH2,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_Atoms,Num_Hydrogens,Num_RotatableBonds,Num_DoubleBonds,Num_AliphaticDoubleBonds,Molecular_FractionalPolarSurfaceArea,BIC,IAC_Mean,IC,JX
0,3.481,11.182,2.063,2.467,-3.869,2,2,15,16,6,5,2,0.121,0.73807,1.27336,3.18989,2.28166
0,2.941,11.394,4.375,5.533,-2.57,1,1,11,18,2,1,1,0.099,0.91426,1.12425,3.27761,2.44164
0,5.186,11.144,4.297,9.919,-5.065,2,2,16,26,11,2,2,0.1,0.68028,1.16578,2.78063,3.18636
0,2.42,0.0,8.348,1.112,-1.504,0,1,11,18,2,1,1,0.206,0.91426,1.28598,3.27761,2.44346
0,3.063,0.0,4.431,5.276,-2.983,0,0,8,14,5,0,0,0.303,0.53431,1.24067,1.5,2.37252
0,1.649,0.0,6.232,1.961,-1.23,1,1,7,14,3,0,0,0.069,0.9755,1.11552,2.52164,2.70297
0,2.223,20.42,3.663,2.469,-1.743,4,4,13,15,8,2,2,0.338,0.72947,1.40975,2.77736,3.21567
0,1.271,9.457,2.049,2.617,-0.929,1,2,7,10,4,1,1,0.218,0.89822,1.33282,2.52164,2.40123
0,3.841,11.058,4.258,7.849,-3.404,2,2,13,22,9,1,1,0.12,0.63393,1.18181,2.34585,2.99415
0,3.385,10.97,4.215,6.521,-2.894,2,2,12,20,8,1,1,0.129,0.67456,1.19819,2.41829,2.98084
0,2.772,11.326,2.036,2.336,-2.462,2,3,14,14,5,4,1,0.23,0.74175,1.37479,3.09306,2.391
0,3.002,11.376,2.096,2.0,-3.045,2,2,14,12,2,5,2,0.142,0.78177,1.31432,3.37878,2.33071
0,2.479,10.795,5.755,2.622,-1.889,2,2,10,16,5,1,1,0.152,0.87958,1.2389,2.92192,3.06871
0,2.724,10.906,6.109,3.185,-2.209,2,2,11,18,6,1,1,0.139,0.89488,1.21701,3.09579,3.08907
0,1.389,10.535,2.133,3.881,-1.288,3,3,11,14,3,1,1,0.214,0.79369,1.36154,2.84535,1.99871
0,1.162,10.545,3.407,2.269,-1.314,2,3,10,14,5,1,1,0.277,0.87958,1.34707,2.92192,3.02978
0,6.122,11.302,4.355,14.901,-6.078,2,2,18,32,14,1,1,0.088,0.47748,1.12385,1.99107,3.00595
0,3.048,11.265,2.074,2.922,-3.226,2,2,14,16,6,4,1,0.128,0.76308,1.2729,3.182,2.20606
0,3.252,11.416,2.141,3.182,-3.115,2,2,14,14,3,4,1,0.139,0.82902,1.29583,3.52164,2.15492
0,2.016,10.464,3.869,3.134,-1.535,2,2,9,14,5,1,1,0.17,0.85979,1.26467,2.72548,2.81611
0,2.772,11.358,2.021,2.233,-2.398,2,3,14,14,5,4,1,0.23,0.81027,1.37479,3.37878,2.4674
0,8.859,11.429,4.393,23.682,-9.388,2,2,24,44,20,1,1,0.066,0.36386,1.08272,1.66829,3.01127
0,3.452,0.0,4.5,8.23,-3.642,0,0,9,18,6,0,0,0.145,0.4785,1.08604,1.43552,2.51688
0,5.275,11.258,2.097,11.556,-5.312,2,2,17,28,13,2,2,0.094,0.61345,1.15386,2.55805,3.02834
0,2.929,10.854,4.151,5.255,-2.403,2,2,11,18,7,1,1,0.14,0.71737,1.21701,2.48171,2.95473
0,0.94,9.404,1.98,1.684,-0.655,1,1,5,8,2,1,1,0.186,0.99999,1.2389,2.32192,2.334
0,-0.556,9.599,1.841,1.023,-0.458,0,2,6,7,2,1,1,0.371,1.0,1.41955,2.58496,2.69323
0,0.276,10.02,0.0,2.178,-0.045,2,2,6,6,0,1,1,0.306,0.68331,1.45914,1.91829,2.21977
0,4.744,0.0,9.428,3.957,-3.979,0,0,15,24,1,2,2,0.0,0.77704,0.96123,3.24022,2.24168
0,2.926,0.0,4.72,4.314,-2.444,0,0,10,16,0,1,1,0.0,0.75926,0.96123,2.72192,2.33676
0,2.602,10.607,8.184,2.657,-3.126,2,2,14,20,4,2,2,0.117,0.80898,1.22104,3.23592,2.3238
0,2.223,0.0,6.731,2.426,-2.304,0,1,11,18,2,1,1,0.111,0.8444,1.12425,3.02716,2.60216
0,2.075,11.573,6.674,3.252,-2.413,1,1,11,16,0,1,1,0.103,0.81805,1.15417,3.02716,2.45158
0,-1.91,38.069,1.146,-0.856,-0.827,3,13,35,19,3,9,3,0.546,0.67769,1.55259,3.76429,1.90762
0,3.268,0.0,6.132,0.0,-2.593,0,1,11,14,1,3,0,0.119,0.7176,1.18296,2.73215,3.02071
0,3.842,0.0,8.483,0.738,-3.636,1,1,13,18,3,3,0,0.045,0.84818,1.14522,3.39274,2.91148
0,2.4,0.0,4.019,1.912,-1.875,0,1,11,16,1,2,2,0.117,0.8366,1.15417,3.09579,2.59451
0,2.55,0.0,6.322,2.845,-2.19,0,1,11,18,1,1,1,0.113,0.81283,1.12425,2.91397,2.60661
0,2.779,10.862,5.503,1.912,-2.646,2,2,14,18,3,3,3,0.122,0.74352,1.24755,3.03914,2.59509
0,3.446,11.23,5.889,2.367,-2.918,2,2,15,20,4,3,3,0.114,0.80902,1.22801,3.37355,2.56634
0,4.753,0.0,7.144,6.481,-4.458,0,0,15,24,0,2,2,0.0,0.76497,0.96123,3.18989,2.11962
0,3.808,11.638,8.798,8.637,-5.13,2,2,19,28,2,1,1,0.094,0.75482,1.16963,3.36609,1.91817
0,2.282,0.0,6.845,5.151,-2.647,1,1,11,18,1,0,0,0.055,0.71139,1.12425,2.55034,2.15251
0,1.949,9.891,0.0,0.0,-2.533,1,1,10,8,2,5,2,0.124,0.67737,1.25162,2.64643,2.73522
0,1.989,0.0,0.0,1.396,-2.519,2,2,13,12,2,4,1,0.107,0.68901,1.32092,2.87314,1.90429
0,0.453,10.085,0.0,0.0,-2.439,0,2,11,7,2,5,2,0.26,0.66588,1.3821,2.66353,2.67402
0,2.072,10.398,1.399,0.337,-3.054,2,2,13,12,4,5,2,0.141,0.7628,1.32092,3.18083,2.30799
0,2.99,11.74,0.0,0.224,-4.468,2,3,19,15,5,8,2,0.206,0.66894,1.42265,3.21584,1.83449
0,3.736,11.599,0.0,0.28,-4.697,2,2,18,14,5,8,2,0.111,0.60229,1.27178,2.86382,1.7847
0,3.195,10.998,1.959,1.688,-3.727,2,2,15,16,6,5,2,0.121,0.76892,1.27336,3.32323,2.19845
0,4.204,11.484,0.0,0.27,-5.691,2,2,20,16,6,9,3,0.099,0.57239,1.25162,2.80869,1.71933
0,3.201,11.098,3.645,0.339,-3.706,2,2,15,16,5,5,2,0.12,0.76892,1.27336,3.32323,2.26068
0,3.447,11.208,4.002,0.832,-4.011,2,2,16,18,6,5,2,0.112,0.7861,1.25329,3.45281,2.196
0,3.771,11.567,0.0,0.625,-5.031,2,2,19,16,6,8,2,0.104,0.62624,1.25822,3.01057,1.70084
0,2.739,10.767,1.78,0.778,-3.329,2,2,14,14,5,5,2,0.13,0.7827,1.29583,3.32486,2.25417
0,4.109,0.0,10.352,3.53,-3.829,2,2,16,26,8,2,2,0.067,0.77202,1.16578,3.15563,3.94748
0,3.411,0.0,9.629,2.151,-3.122,2,2,14,22,6,2,2,0.075,0.81445,1.19417,3.182,3.79764
0,3.607,0.0,8.425,2.9,-3.032,2,2,15,22,4,2,2,0.077,0.80071,1.20369,3.2729,2.22092
0,-4.267,30.484,0.0,-2.289,-0.407,1,7,13,6,5,3,3,0.693,0.61726,1.58103,2.4116,4.32519
0,3.019,10.096,6.321,2.942,-2.875,1,1,11,18,5,2,2,0.09,0.86355,1.12425,3.09579,3.3452
0,1.522,10.291,6.093,2.254,-2.598,0,2,12,17,5,2,2,0.195,0.81667,1.24742,3.02205,3.4397
0,3.428,10.496,7.878,3.83,-3.444,2,2,14,22,7,2,2,0.111,0.80065,1.19417,3.12808,3.32358
0,4.551,11.096,8.448,5.282,-4.134,2,2,16,26,9,2,2,0.098,0.84473,1.16578,3.45281,3.37657
0,3.349,9.857,6.41,3.826,-3.124,1,2,13,20,7,2,2,0.12,0.76988,1.21129,2.9312,3.25924
0,4.557,11.195,10.173,3.827,-4.093,2,2,16,26,8,2,2,0.097,0.80261,1.16578,3.28063,3.45352
0,2.961,9.963,6.471,4.339,-3.385,2,2,14,22,8,2,2,0.111,0.75513,1.19417,2.95021,3.2337
0,5.127,11.665,6.454,4.105,-5.424,2,2,20,26,9,5,2,0.086,0.78521,1.1916,3.64643,2.09051
0,5.007,11.255,8.553,6.434,-4.594,2,2,17,28,10,2,2,0.092,0.8285,1.15386,3.45482,3.38076
0,-1.009,10.856,1.314,0.423,-0.809,3,5,12,11,4,3,1,0.442,0.82232,1.72094,3.25162,2.33618
0,2.074,0.0,1.944,0.0,-1.392,0,1,8,8,0,3,0,0.173,0.65039,1.27178,2.25,3.03684
0,2.074,0.0,1.87,0.0,-1.361,0,1,8,8,0,3,0,0.173,0.57812,1.27178,2.0,3.09155
0,2.074,0.0,1.985,0.0,-1.41,0,1,8,8,0,3,0,0.173,0.43359,1.27178,1.5,2.99385
0,2.783,10.287,4.269,0.0,-2.825,1,1,11,12,2,4,1,0.105,0.60624,1.20883,2.36852,2.88639
0,5.887,11.62,0.0,16.819,-6.637,1,1,18,30,0,2,2,0.061,0.46069,1.07051,1.99107,2.15442
0,0.693,10.267,0.0,6.421,-1.948,0,2,10,13,2,1,1,0.262,0.76499,1.30157,2.64643,2.14547
0,0.447,10.354,0.0,5.238,-1.482,0,2,9,11,1,1,1,0.293,0.7283,1.33666,2.41938,2.25405
0,2.598,10.463,1.473,8.487,-2.878,2,2,12,18,4,1,1,0.143,0.68155,1.23095,2.52205,1.95296
0,1.314,10.463,0.0,5.239,-1.159,1,1,7,10,0,1,1,0.162,0.61412,1.22104,1.84237,2.20953
0,1.879,10.489,1.48,5.881,-1.873,2,2,10,14,2,1,1,0.174,0.76499,1.28067,2.64643,2.10635
0,2.797,11.831,0.0,5.53,-3.258,2,3,16,17,3,4,1,0.238,0.75764,1.42037,3.32781,1.93594
0,3.002,11.089,2.002,7.391,-2.57,2,2,12,18,4,1,1,0.143,0.81667,1.23095,3.02205,2.07404
0,4.011,11.575,0.0,5.671,-4.496,2,2,17,18,4,5,2,0.114,0.7019,1.25322,3.17512,1.77686
0,1.8,9.85,0.0,5.882,-1.567,1,2,9,12,2,1,1,0.198,0.7283,1.31274,2.41938,2.06065
0,3.254,11.299,4.087,6.459,-2.836,2,2,13,20,4,1,1,0.131,0.75462,1.21129,2.87314,2.10707
